통신사,가입유형,요금제명,월요금(원),출고가(원),공시지원금(원),추가할인(원),월할부금(원)
1,기기변경,5G 프리미어 슈퍼,115000,1155000,480000,650000,
1,기기변경,5G 프리미어 플러스,105000,1155000,480000,650000,
1,기기변경,5G 프리미어 레귤러,95000,1155000,480000,650000,
1,기기변경,5G 프리미어 에센셜,85000,1155000,480000,650000,
1,기기변경,5G 프리미어 슈퍼,115000,1155000,480000,650000,
1,기기변경,5G 프리미어 플러스,105000,1155000,480000,650000,
1,기기변경,5G 프리미어 레귤러,95000,1155000,480000,650000,
1,기기변경,5G 프리미어 에센셜,85000,1155000,480000,650000,
2,기기변경,5G 프리미어 슈퍼,115000,1155000,600000,555000,
2,기기변경,5G 프리미어 플러스,105000,1155000,600000,555000,
2,기기변경,5G 프리미어 레귤러,95000,1155000,600000,555000,
2,기기변경,5G 프리미어 에센셜,85000,1155000,600000,555000,
2,기기변경,5G 프리미어 슈퍼,115000,1155000,600000,555000,
2,기기변경,5G 프리미어 플러스,105000,1155000,600000,555000,
2,기기변경,5G 프리미어 레귤러,95000,1155000,600000,555000,
2,기기변경,5G 프리미어 에센셜,85000,1155000,600000,555000,
3,기기변경,5G 프리미어 슈퍼,115000,1155000,500000,655000,
3,기기변경,5G 프리미어 플러스,105000,1155000,500000,655000,
3,기기변경,5G 프리미어 레귤러,95000,1155000,500000,655000,
3,기기변경,5G 프리미어 에센셜,85000,1155000,500000,655000,
3,기기변경,5G 프리미어 슈퍼,115000,1155000,500000,390000,
3,기기변경,5G 프리미어 플러스,105000,1155000,500000,390000,
3,기기변경,5G 프리미어 레귤러,95000,1155000,500000,390000,
3,기기변경,5G 프리미어 에센셜,85000,1155000,500000,390000,
